priority,status,project,target,type,why_fit,requested_action,required_before_send,public_channel
1,READY_AFTER_IDENTITY,Assumption-Integrity,MIT Madry Lab,university,"distribution shift and reliable deployment","technical feedback and independent replication discussion","confirm sender identity; create one-page brief; preserve ICLR anonymity",https://madrylab.mit.edu/
1,READY_AFTER_IDENTITY,Assumption-Integrity,Oxford OATML,university,"uncertainty calibration OOD reliability","technical feedback and comparison with reliability protocols","confirm sender identity; create one-page brief; preserve ICLR anonymity",mailto:oatml@cs.ox.ac.uk
1,FORMAL_ROUTE,Olympus-Pantheon,NIST AI Consortium,government-industry consortium,"AI measurement evaluation and test systems","discuss metric/method contribution or consortium participation","confirm eligible organization and authorized representative",mailto:aiconsortium@nist.gov
1,READY_AFTER_IDENTITY,Olympus-Pantheon,Stanford CRFM,university,"foundation-model evaluation transparency and systems","seek a real-agent canonical-auditing replication partner","confirm sender identity; package benchmark and brief",https://crfm.stanford.edu/
1,READY_AFTER_IDENTITY,Causal-Memory-Use+NPMS,Microsoft Research A4P,company research,"procedural memory context management reliable long-horizon agents","request API/system collaboration for matched causal interventions","confirm sender identity; two-page controlled-evidence brief",https://www.microsoft.com/en-us/research/group/agents-for-productivity-a4p/
2,HOLD_EXPERIMENT,NGMT,Amazon Science forecasting,company research,"probabilistic forecasting and operational time series","request external dataset replication after frozen matrix","finish matrix validator statistics and manuscript",https://www.amazon.science/
2,HOLD_EXPERIMENT,NGMT,Google DeepMind,company research,"forecasting and world-model research","request critique or replication after frozen matrix","finish matrix validator statistics and manuscript",https://deepmind.google/research/
2,HOLD_BENCHMARK,NeuroCAD,Autodesk AI Lab,company research,"generative AI for CAD geometry","show benchmark and ask about evaluation collaboration","20-50 prompt correctness benchmark; demo; license check",https://www.research.autodesk.com/research-areas/science/ai-lab/
3,HOLD_USER_STUDY,ColorWorld,Adobe Research,company research,"image/video editing and creative tools","request perceptual-evaluation or internship/collaboration direction","blinded user study; grading baselines; demo",https://research.adobe.com/
3,HOLD_REAL_DATA,LAM-JEPA,Duolingo Research,company research,"learning science assessment and ML at scale","request public-data or evaluation collaboration","authentic learner data; strong KT baselines; ethics review",https://research.duolingo.com/
